
 num     #instances         #bytes  class name
 113:          2722          65328  cn.nubia.framework.validator.internal.metadata.location.ConstraintLocation
 114:          3979          63664  java.util.LinkedHashMap$LinkedValues
 115:          1983          63456  org.springframework.cglib.proxy.MethodProxy
 116:          1982          63424  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 117:           872          61352  [S
 118:          3808          60928  cn.nubia.framework.validator.internal.metadata.aggregated.GroupConversionHelper
 119:          1074          60144  cn.nubia.framework.validator.internal.metadata.aggregated.ExecutableMetaData
 120:           981          54936  java.lang.Package
 121:           828          52992  org.springframework.web.method.HandlerMethod$HandlerMethodParameter
 122:           336          51072  org.springframework.beans.factory.support.RootBeanDefinition
 123:          2112          50688  org.apache.tomcat.util.bcel.classfile.ConstantClass
 124:           398          48632  [Ljava.beans.MethodDescriptor;
 125:          1001          48048  java.util.Hashtable
 126:          1938          46512  java.util.Collections$SingletonList
 127:           638          45936  org.hibernate.mapping.Column
 128:          2814          45024  java.lang.ref.ReferenceQueue$Lock
 129:           915          43920  java.util.concurrent.ConcurrentHashMap$TreeNode
 130:          1370          43840  java.util.zip.ZipCoder
 131:          1023          43632  [Ljava.lang.reflect.Field;
 132:          1074          42960  cn.nubia.framework.validator.internal.metadata.aggregated.ReturnValueMetaData
 133:          2008          42936  [Ljava.lang.reflect.Constructor;
 134:          1740          41760  org.springframework.aop.framework.AdvisedSupport$MethodCacheKey
 135:           741          41496  org.springframework.core.MethodParameter
 136:          1276          40832  org.hibernate.annotations.common.reflection.java.JavaXProperty
 137:          1276          40832  org.hibernate.annotations.common.reflection.java.JavaXSimpleType
 138:           636          40704  org.hibernate.mapping.SimpleValue
 139:           705          39480  cn.nubia.framework.validator.internal.metadata.raw.ConstrainedExecutable
 140:           806          38688  org.apache.tomcat.util.modeler.AttributeInfo
 141:           960          38400  cn.nubia.framework.validator.internal.metadata.aggregated.ParameterMetaData
 142:           768          36864  org.springframework.web.method.HandlerMethod
 143:           768          36864  org.springframework.web.servlet.mvc.method.RequestMappingInfo
 144:            66          36432  org.hibernate.persister.entity.SingleTableEntityPersister
 145:           640          35840  org.hibernate.mapping.Property
 146:          1483          35592  org.springframework.util.ConcurrentReferenceHashMap$Entry
 147:           231          35112  org.springframework.beans.factory.support.RootBeanDefinition
 148:           726          34848  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails
 149:           853          34808  [Ljava.beans.PropertyDescriptor;
 150:          1817          34768  [Ljava.lang.reflect.TypeVariable;
 151:           540          34560  org.springframework.core.annotation.AnnotationAttributes
 152:           862          34480  org.hibernate.loader.DefaultEntityAliases
 153:           708          33984  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
 154:           704          33792  cn.nubia.framework.validator.internal.metadata.aggregated.PropertyMetaData
 155:           704          33792  cn.nubia.framework.validator.internal.metadata.raw.ConstrainedParameter
 156:           134          33704  [[C
 157:          1382          33168  cn.nubia.framework.validator.internal.metadata.location.ConstraintLocation
 158:          1370          32880  java.util.ArrayDeque
 159:           140          32320  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 160:           575          32200  org.springframework.core.MethodParameter
 161:          1304          31296  cn.nubia.framework.validator.internal.metadata.raw.ExecutableElement$MethodElement
 162:          1924          30784  java.util.LinkedHashMap$LinkedEntrySet
 163:          1276          30624  org.hibernate.annotations.common.reflection.java.JavaReflectionManager$MemberKey
 164:          1908          30528  cn.nubia.framework.validator.internal.metadata.aggregated.GroupConversionHelper
 165:           916          29312  org.springframework.asm.Type
 166:           726          29040  org.hibernate.loader.entity.plan.EntityLoader
 167:           726          29040  org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl
 168:           726          29040  org.hibernate.loader.plan.exec.internal.AliasResolutionContextImpl
 169:           570          27360  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 170:            13          26832  [Lorg.apache.ibatis.ognl.OgnlRuntime$ClassCache$Entry;
 171:          1104          26496  java.util.Date
 172:          1097          26328  java.lang.Class$AnnotationData
 173:          1607          25712  sun.reflect.generics.tree.TypeVariableSignature
 174:           638          25520  cn.nubia.framework.validator.internal.metadata.raw.ConstrainedField
